imdb_id,title,year,genre,imdb_rating,metascore,runtime,director,actors,plot,language,country,imdb_votes
tt0000001,Sample Movie 1,1992,"Thriller, Crime",8.6,76,121 min,Director 13,"Actor 23, Actor 43",A dramatic movie about interesting events.,English,USA,10597
tt0000002,Sample Movie 2,1993,"Comedy, Romance",8.6,82,81 min,Director 1,"Actor 25, Actor 10",A action-packed movie about interesting events.,English,USA,9827
tt0000003,Sample Movie 3,2010,"Thriller, Crime",6.5,72,167 min,Director 18,"Actor 37, Actor 20",A action-packed movie about interesting events.,English,USA,13881
tt0000004,Sample Movie 4,1972,Sci-Fi,6.8,81,161 min,Director 8,"Actor 24, Actor 25",A action-packed movie about interesting events.,English,USA,23723
tt0000005,Sample Movie 5,1995,"Action, Drama",7.2,95,132 min,Director 11,"Actor 28, Actor 42",A funny movie about interesting events.,English,USA,24998
tt0000006,Sample Movie 6,1982,Action,8.7,54,90 min,Director 18,"Actor 27, Actor 12",A thrilling movie about interesting events.,English,USA,32894
tt0000007,Sample Movie 7,1973,Action,8.5,58,160 min,Director 12,"Actor 34, Actor 2",A dramatic movie about interesting events.,English,USA,78511
tt0000008,Sample Movie 8,1979,Drama,8.2,96,119 min,Director 2,"Actor 41, Actor 6",A funny movie about interesting events.,English,USA,17005
tt0000009,Sample Movie 9,2007,Drama,9.1,44,130 min,Director 7,"Actor 34, Actor 9",A action-packed movie about interesting events.,English,USA,38456
tt0000010,Sample Movie 10,1992,Drama,8.5,42,164 min,Director 5,"Actor 36, Actor 5",A funny movie about interesting events.,English,USA,92065
tt0000011,Sample Movie 11,1980,"Thriller, Crime",5.4,67,139 min,Director 8,"Actor 39, Actor 16",A dramatic movie about interesting events.,English,USA,31092
tt0000012,Sample Movie 12,1975,Comedy,8.5,62,87 min,Director 16,"Actor 24, Actor 21",A action-packed movie about interesting events.,English,USA,38090
tt0000013,Sample Movie 13,1972,Sci-Fi,5.7,41,83 min,Director 1,"Actor 24, Actor 8",A thrilling movie about interesting events.,English,USA,26970
tt0000014,Sample Movie 14,2001,Comedy,9.5,68,95 min,Director 6,"Actor 28, Actor 17",A thrilling movie about interesting events.,English,USA,1662
tt0000015,Sample Movie 15,1983,Action,8.0,77,161 min,Director 7,"Actor 24, Actor 17",A action-packed movie about interesting events.,English,USA,96208
tt0000016,Sample Movie 16,2013,"Thriller, Crime",6.6,75,164 min,Director 4,"Actor 30, Actor 14",A action-packed movie about interesting events.,English,USA,54148
tt0000017,Sample Movie 17,1985,"Comedy, Romance",7.1,52,141 min,Director 17,"Actor 18, Actor 1",A funny movie about interesting events.,English,USA,23998
tt0000018,Sample Movie 18,1990,Sci-Fi,6.6,64,164 min,Director 13,"Actor 9, Actor 48",A dramatic movie about interesting events.,English,USA,86874
tt0000019,Sample Movie 19,1989,"Comedy, Romance",7.1,95,149 min,Director 13,"Actor 10, Actor 12",A funny movie about interesting events.,English,USA,46682
tt0000020,Sample Movie 20,2015,Drama,6.1,76,126 min,Director 17,"Actor 29, Actor 4",A dramatic movie about interesting events.,English,USA,14426
tt0000021,Sample Movie 21,2004,"Comedy, Romance",8.6,61,128 min,Director 9,"Actor 43, Actor 27",A funny movie about interesting events.,English,USA,91354
tt0000022,Sample Movie 22,1985,Action,7.1,49,149 min,Director 14,"Actor 39, Actor 13",A thrilling movie about interesting events.,English,USA,11020
tt0000023,Sample Movie 23,2011,Thriller,7.9,76,115 min,Director 1,"Actor 28, Actor 38",A funny movie about interesting events.,English,USA,93978
